DATAFLOW,FREQ,REF_AREA,DATA_TYPE,TYPE_OF_MONITORING,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_TYPE_OF_MONITORING,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,002158,MON_LIM,1,2009,87.5,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,002158,MON_LIM,1,2010,33.33333,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,002158,MON_LIM,1,2011,25,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,002158,MON_LIM,1,2012,0,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,002158,MON_LIM,2,2008,0,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,002158,MON_LIM,2,2009,0,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,002158,MON_LIM,2,2010,0,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,002158,MON_LIM,2,2011,0,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,002158,MON_LIM,2,2012,0,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,002158,MON_LIM,9,2008,71.42857,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,002158,MON_LIM,9,2009,87.5,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,002158,MON_LIM,9,2010,33.33333,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,002158,MON_LIM,9,2011,25,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,002158,MON_LIM,9,2012,0,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,003106,MON,1,2008,21.31122,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,003106,MON,1,2009,22.11911,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,003106,MON,1,2010,3.82068,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,003106,MON,1,2011,3.8061,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,003106,MON,1,2012,3.80004,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,003106,MON,2,2008,0,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,003106,MON,2,2009,0,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,003106,MON,2,2010,1.91034,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,003106,MON,2,2011,0,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,003106,MON,2,2012,0.95001,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,003106,MON,9,2008,21.31122,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,003106,MON,9,2009,22.11911,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,003106,MON,9,2010,5.73101,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,003106,MON,9,2011,3.8061,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,003106,MON,9,2012,4.75005,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,003106,MON_LIM,1,2008,100,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,003106,MON_LIM,1,2009,100,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,003106,MON_LIM,1,2010,100,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,003106,MON_LIM,1,2011,75,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,003106,MON_LIM,1,2012,50,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,003106,MON_LIM,2,2008,0,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,003106,MON_LIM,2,2009,0,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,003106,MON_LIM,2,2010,0,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,003106,MON_LIM,2,2011,0,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,003106,MON_LIM,2,2012,100,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,003106,MON_LIM,9,2008,100,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,003106,MON_LIM,9,2009,100,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,003106,MON_LIM,9,2010,66.66667,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,003106,MON_LIM,9,2011,75,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,003106,MON_LIM,9,2012,60,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,004078,MON,1,2008,16.33824,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,004078,MON,1,2009,14.45805,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,004078,MON,1,2010,7.19567,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,004078,MON,1,2011,1.78998,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,004078,MON,1,2012,5.32127,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,004078,MON,2,2008,10.89216,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,004078,MON,2,2009,27.10884,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,004078,MON,2,2010,14.39134,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,004078,MON,2,2011,1.78998,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,004078,MON,2,2012,0,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,004078,MON,9,2008,27.2304,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,004078,MON,9,2009,41.56689,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,004078,MON,9,2010,21.587,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,004078,MON,9,2011,3.57996,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,004078,MON,9,2012,5.32127,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,004078,MON_LIM,1,2008,11.11111,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,004078,MON_LIM,1,2009,12.5,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,004078,MON_LIM,1,2010,50,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,004078,MON_LIM,1,2011,100,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,004078,MON_LIM,1,2012,33.33333,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,004078,MON_LIM,2,2008,0,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,004078,MON_LIM,2,2009,6.66667,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,004078,MON_LIM,2,2010,0,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,004078,MON_LIM,2,2011,100,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,004078,MON_LIM,2,2012,0,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,004078,MON_LIM,9,2008,6.66667,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,004078,MON_LIM,9,2009,8.69565,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,004078,MON_LIM,9,2010,16.66667,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,004078,MON_LIM,9,2011,100,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,004078,MON_LIM,9,2012,33.33333,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,005005,MON,1,2008,33.36737,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,005005,MON,1,2009,35.7124,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,005005,MON,1,2010,32.79893,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,005005,MON,1,2011,28.69403,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,005005,MON,1,2012,25.96172,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,005005,MON,2,2008,4.00408,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,005005,MON,2,2009,2.64536,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,005005,MON,2,2010,0,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,005005,MON,2,2011,1.30427,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,005005,MON,2,2012,1.29809,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,005005,MON,9,2008,37.37145,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,005005,MON,9,2009,38.35776,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,005005,MON,9,2010,32.79893,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,005005,MON,9,2011,29.9983,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,005005,MON,9,2012,27.25981,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,005005,MON_LIM,1,2008,80,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,005005,MON_LIM,1,2009,66.66667,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,005005,MON_LIM,1,2010,48,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,005005,MON_LIM,1,2011,45.45455,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,005005,MON_LIM,1,2012,40,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,005005,MON_LIM,2,2008,100,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,005005,MON_LIM,2,2009,0,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,005005,MON_LIM,2,2010,0,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,005005,MON_LIM,2,2011,100,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,005005,MON_LIM,2,2012,100,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,005005,MON_LIM,9,2008,82.14286,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,005005,MON_LIM,9,2009,62.06897,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,005005,MON_LIM,9,2010,48,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,005005,MON_LIM,9,2011,47.82609,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,005005,MON_LIM,9,2012,42.85714,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,006003,MON,1,2008,2.1446,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,006003,MON,1,2009,5.32291,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,006003,MON,1,2010,2.11456,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,006003,MON,1,2011,3.15514,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,006003,MON,1,2012,6.30461,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,006003,MON,2,2008,0,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,006003,MON,2,2009,3.19375,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,006003,MON,2,2010,1.05728,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,006003,MON,2,2011,1.05171,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,006003,MON,2,2012,0,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,006003,MON,9,2008,2.1446,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,006003,MON,9,2009,8.51666,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,006003,MON,9,2010,3.17183,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,006003,MON,9,2011,4.20685,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,006003,MON,9,2012,6.30461,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,006003,MON_LIM,1,2008,100,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,006003,MON_LIM,1,2009,20,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,006003,MON_LIM,1,2010,0,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,006003,MON_LIM,1,2011,100,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,006003,MON_LIM,1,2012,100,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,006003,MON_LIM,2,2008,0,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,006003,MON_LIM,2,2009,33.33333,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,006003,MON_LIM,2,2010,0,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,006003,MON_LIM,2,2011,0,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,006003,MON_LIM,2,2012,0,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,006003,MON_LIM,9,2008,100,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,006003,MON_LIM,9,2009,25,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,006003,MON_LIM,9,2010,0,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,006003,MON_LIM,9,2011,75,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,006003,MON_LIM,9,2012,100,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,007003,MON,1,2008,0,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,007003,MON,1,2009,0,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,007003,MON,1,2010,14.25984,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,007003,MON,1,2011,11.42465,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,007003,MON,1,2012,8.50123,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,007003,MON,2,2008,0,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,007003,MON,2,2009,0,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,007003,MON,2,2010,0,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,007003,MON,2,2011,0,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,007003,MON,2,2012,0,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,007003,MON,9,2008,0,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,007003,MON,9,2009,0,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,007003,MON,9,2010,14.25984,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,007003,MON,9,2011,11.42465,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,007003,MON,9,2012,8.50123,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,007003,MON_LIM,1,2008,0,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,007003,MON_LIM,1,2009,0,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,007003,MON_LIM,1,2010,20,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,007003,MON_LIM,1,2011,75,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,007003,MON_LIM,1,2012,33.33333,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,007003,MON_LIM,2,2008,0,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,007003,MON_LIM,2,2009,0,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,007003,MON_LIM,2,2010,0,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,007003,MON_LIM,2,2011,0,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,007003,MON_LIM,2,2012,0,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,007003,MON_LIM,9,2008,0,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,007003,MON_LIM,9,2009,0,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,007003,MON_LIM,9,2010,20,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,007003,MON_LIM,9,2011,75,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,007003,MON_LIM,9,2012,33.33333,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,008031,MON,1,2008,0,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,008031,MON,1,2009,52.2249,,,,TIPO_DATO4__MON_N1,,,,,
